Book Name,Author,Price,Customers_Rated,Rating,Book_cover
Finding Me: A Memoir,Viola Davis,18.84,314.0,4.8,Hardcover
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,11.98,79977.0,4.8,Hardcover
"This Will Not Pass: Trump, Biden, and the Battle for America's Future",Jonathan Martin,24.99,4.0,4.2,Hardcover
Just Tyrus: A Memoir,Tyrus,32.49,898.0,4.7,Hardcover
Book Lovers,Emily Henry,13.6,21.0,4.6,Paperback
The Mothers and Daughters of the Bible Speak: Lessons on Faith from Nine Biblical Families,Shannon Bream,17.05,786.0,4.9,Hardcover
Johnny the Walrus,Matt Walsh,14.18,2620.0,4.9,Board book
Where the Crawdads Sing,Delia Owens,9.98,221019.0,4.8,Paperback
"Oh, the Places You'll Go!",Dr. Seuss,8.98,36141.0,4.9,Hardcover
It Ends with Us: A Novel (1),Colleen Hoover,11.17,88865.0,4.7,Paperback
Verity,Colleen Hoover,11.26,85090.0,4.6,Paperback
The Seven Husbands of Evelyn Hugo: A Novel,Taylor Jenkins Reid,9.42,71973.0,4.6,Paperback
"Mothers Day Gifts: Mom I Want to Hear Your Story: 100 Hand-Designed Pages with Family Tree, Questions, Qutoes and More! Mother's Day Gift Idea for Mom from Daughter and Son",Alberta Chompegne,9.99,5.0,5.0,Paperback
Outdoor Kids in an Inside World: Getting Your Family Out of the House and Radically Engaged with Nature,Steven Rinella,18.29,2.0,4.5,Hardcover
"Half Baked Harvest Every Day: Recipes for Balanced, Flexible, Feel-Good Meals: A Cookbook",Tieghan Gerard,19.48,857.0,4.8,Hardcover
"Tell Me Your Life Story, Mom: A Mother’s Guided Journal and Memory Keepsake Book (Tell Me Your Life Story® Series)",Questions About Me,9.95,578.0,4.7,Paperback
"22 Seconds (Women's Murder Club, 22)",James Patterson,19.43,71.0,4.6,Hardcover
The 14-Day New Keto Cleanse: Lose Up to 15 Pounds in 2 Weeks with Delicious Meals and Low-Sugar Smoothies,JJ Smith,13.38,162.0,4.8,Paperback
Atlas of the Heart: Mapping Meaningful Connection and the Language of Human Experience,Brené Brown,18.34,9575.0,4.8,Hardcover
The Very Hungry Caterpillar,Eric Carle,5.06,48681.0,4.9,Board book
Reminders of Him: A Novel,Colleen Hoover,12.22,71963.0,4.7,Paperback
The Palace Papers: Inside the House of Windsor--the Truth and the Turmoil,Tina Brown,22.46,254.0,4.2,Hardcover
The War on the West,Douglas Murray,18.6,64.0,4.7,Hardcover
The 48 Laws of Power,Robert Greene,11.9,41036.0,4.7,Paperback
Ugly Love: A Novel,Colleen Hoover,10.4,40223.0,4.7,Paperback
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,7.74,77926.0,4.7,Paperback
"My First Learn-to-Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More!",Crystal Radke,4.53,71348.0,4.8,Paperback
